,alpha,beta,rho,K,loglike
0,0.05,1,0.0,2,-913.7362568930857
1,0.05,1,0.0,3,-913.7362568930857
2,0.05,1,0.0,4,-913.7362568930857
3,0.05,1,0.0,5,-913.7362568930857
4,0.05,1,0.0,6,-913.7362568930857
5,0.05,1,0.05,2,-881.7025823756863
6,0.05,1,0.05,3,-869.4176784323156
7,0.05,1,0.05,4,-860.4423851858068
8,0.05,1,0.05,5,-854.7224897124073
9,0.05,1,0.05,6,-851.8846351180435
10,0.05,1,0.1,2,-851.1869376936479
11,0.05,1,0.1,3,-827.7924447079866
12,0.05,1,0.1,4,-810.8790443725476
13,0.05,1,0.1,5,-800.2068327881946
14,0.05,1,0.1,6,-794.9482100817553
15,0.05,1,0.15000000000000002,2,-822.0393508457242
16,0.05,1,0.15000000000000002,3,-788.5495352000983
17,0.05,1,0.15000000000000002,4,-764.5750017340142
18,0.05,1,0.15000000000000002,5,-749.5910204686445
19,0.05,1,0.15000000000000002,6,-742.254030522768
20,0.05,1,0.2,2,-794.1337755942346
21,0.05,1,0.2,3,-751.4329839786983
22,0.05,1,0.2,4,-721.1485011449909
23,0.05,1,0.2,5,-702.3966395425643
24,0.05,1,0.2,6,-693.2681881192894
25,0.05,1,0.25,2,-767.3629523878041
26,0.05,1,0.25,3,-716.2294726562056
27,0.05,1,0.25,4,-680.2863400235938
28,0.05,1,0.25,5,-658.2364602004545
29,0.05,1,0.25,6,-647.5619704866828
30,0.05,1,0.30000000000000004,2,-741.6346485840018
31,0.05,1,0.30000000000000004,3,-682.7593732465409
32,0.05,1,0.30000000000000004,4,-641.7289595148937
33,0.05,1,0.30000000000000004,5,-616.7943272852281
34,0.05,1,0.30000000000000004,6,-604.7883809014818
35,0.05,1,0.35000000000000003,2,-716.868844576349
36,0.05,1,0.35000000000000003,3,-650.8701507798578
37,0.05,1,0.35000000000000003,4,-605.2596249169821
38,0.05,1,0.35000000000000003,5,-577.810872022403
39,0.05,1,0.35000000000000003,6,-564.6656842723837
40,0.05,1,0.4,2,-692.9955867482649
41,0.05,1,0.4,3,-620.4314306566278
42,0.05,1,0.4,4,-570.6964828416909
43,0.05,1,0.4,5,-541.0733575015404
44,0.05,1,0.4,6,-526.9659595454785
45,0.05,1,0.45,2,-669.9533220226486
46,0.05,1,0.45,3,-591.3312786922872
47,0.05,1,0.45,4,-537.8867182415412
48,0.05,1,0.45,5,-506.40863336029116
49,0.05,1,0.45,6,-491.50747629541996
50,0.05,1,0.5,2,-647.6875878363128
51,0.05,1,0.5,3,-563.473399597049
52,0.05,1,0.5,4,-506.70232031209497
53,0.05,1,0.5,5,-473.67863840888054
54,0.05,1,0.5,6,-458.1503194784478
55,0.05,1,0.55,2,-626.1499696916312
56,0.05,1,0.55,3,-536.7750713265608
57,0.05,1,0.55,4,-477.0371735344292
58,0.05,1,0.55,5,-442.77828243837644
59,0.05,1,0.55,6,-426.7952395515162
60,0.05,1,0.6000000000000001,2,-605.2972640183915
61,0.05,1,0.6000000000000001,3,-511.16572581403886
62,0.05,1,0.6000000000000001,4,-448.805371339476
63,0.05,1,0.6000000000000001,5,-413.63598430515043
64,0.05,1,0.6000000000000001,6,-397.386399077327
65,0.05,1,0.65,2,-585.0908016366577
66,0.05,1,0.65,3,-486.586189680531
67,0.05,1,0.65,4,-421.9408628602946
68,0.05,1,0.65,5,-386.21783700365546
69,0.05,1,0.65,6,-369.91985665316713
70,0.05,1,0.7000000000000001,2,-565.4958995371611
71,0.05,1,0.7000000000000001,3,-462.9887613137619
72,0.05,1,0.7000000000000001,4,-396.3988914826495
73,0.05,1,0.7000000000000001,5,-360.5377436712095
74,0.05,1,0.7000000000000001,6,-344.4620552557682
75,0.05,1,0.75,2,-546.4814178393325
76,0.05,1,0.75,3,-440.338648297251
77,0.05,1,0.75,4,-372.1604276433062
78,0.05,1,0.75,5,-336.679099499671
79,0.05,1,0.75,6,-321.1884378876182
80,0.05,1,0.8,2,-528.0194059138282
81,0.05,1,0.8,3,-418.61821859199455
82,0.05,1,0.8,4,-349.2427537608444
83,0.05,1,0.8,5,-314.8424834044839
84,0.05,1,0.8,6,-300.46868106661503
85,0.05,1,0.8500000000000001,2,-510.08482773998554
86,0.05,1,0.8500000000000001,3,-397.8385913988835
87,0.05,1,0.8500000000000001,4,-327.7256983752869
88,0.05,1,0.8500000000000001,5,-295.46330706558336
89,0.05,1,0.8500000000000001,6,-283.0799499546993
90,0.05,1,0.9,2,-492.65536252687406
91,0.05,1,0.9,3,-378.0764959511545
92,0.05,1,0.9,4,-307.83023019889464
93,0.05,1,0.9,5,-279.57152583345635
94,0.05,1,0.9,6,-270.87029567086597
95,0.05,1,0.9500000000000001,2,-475.71128359191067
96,0.05,1,0.9500000000000001,3,-359.6488098845175
97,0.05,1,0.9500000000000001,4,-290.27601528185096
98,0.05,1,0.9500000000000001,5,-270.46540051419225
99,0.05,1,0.9500000000000001,6,-269.8941638786735
100,0.05,1,1.0,2,-459.2354282569211
101,0.05,1,1.0,3,-407.2895611191434
102,0.05,1,1.0,4,-380.4199643752101
103,0.05,1,1.0,5,-872.0168332253603
104,0.05,1,1.0,6,-1324.1878019959643
105,0.05,5,0.0,2,-667.5190779612234
106,0.05,5,0.0,3,-667.5190779612234
107,0.05,5,0.0,4,-667.5190779612234
108,0.05,5,0.0,5,-667.5190779612234
109,0.05,5,0.0,6,-667.5190779612234
110,0.05,5,0.05,2,-649.1059657877332
111,0.05,5,0.05,3,-642.0199011551845
