alpha,beta,rho,K,loglike
0.05,1,0.0,2,-914.3270683887273
0.05,1,0.0,3,-914.3270683887273
0.05,1,0.0,4,-914.3270683887273
0.05,1,0.0,5,-914.3270683887273
0.05,1,0.0,6,-914.3270683887273
0.05,1,0.05,2,-882.5274527153508
0.05,1,0.05,3,-870.1968494587513
0.05,1,0.05,4,-861.1533543240857
0.05,1,0.05,5,-855.3552812766543
0.05,1,0.05,6,-852.5242695157312
0.05,1,0.1,2,-852.2465457339326
0.05,1,0.1,3,-828.7645978244781
0.05,1,0.1,4,-811.7173847907978
0.05,1,0.1,5,-800.893619595704
0.05,1,0.1,6,-795.6533498605013
0.05,1,0.15000000000000002,2,-823.3364770545573
0.05,1,0.15000000000000002,3,-789.7209512986235
0.05,1,0.15000000000000002,4,-765.5486122100966
0.05,1,0.15000000000000002,5,-750.3426183641482
0.05,1,0.15000000000000002,6,-743.0398031475936
0.05,1,0.2,2,-795.6732684311584
0.05,1,0.2,3,-752.8117124592661
0.05,1,0.2,4,-722.2661718325783
0.05,1,0.2,5,-703.2230910155737
0.05,1,0.2,6,-694.1488146887243
0.05,1,0.25,2,-769.1517906116994
0.05,1,0.25,3,-717.8255187625051
0.05,1,0.25,4,-681.5579882188649
0.05,1,0.25,5,-659.1473611944268
0.05,1,0.25,6,-648.5512891909173
0.05,1,0.30000000000000004,2,-743.6821016100457
0.05,1,0.30000000000000004,3,-684.5849785583994
0.05,1,0.30000000000000004,4,-643.1659189959182
0.05,1,0.30000000000000004,5,-617.7990949473782
0.05,1,0.30000000000000004,6,-605.9003073847765
0.05,1,0.35000000000000003,2,-719.1867441695578
0.05,1,0.35000000000000003,3,-652.9401926200078
0.05,1,0.35000000000000003,4,-606.87501758309
0.05,1,0.35000000000000003,5,-578.9189803449862
0.05,1,0.35000000000000003,6,-565.9146562985304
0.05,1,0.4,2,-695.5987369812206
0.05,1,0.4,3,-622.7639810673477
0.05,1,0.4,4,-572.5057122832068
0.05,1,0.4,5,-542.2945609391008
0.05,1,0.4,6,-528.3674091062953
0.05,1,0.45,2,-672.8600937793137
0.05,1,0.45,3,-593.948387162781
0.05,1,0.45,4,-539.9081445641865
0.05,1,0.45,5,-507.7531955246579
0.05,1,0.45,6,-493.0783768441931
0.05,1,0.5,2,-650.9207745829258
0.05,1,0.5,3,-566.4022025630143
0.05,1,0.5,4,-508.95820996201667
0.05,1,0.5,5,-475.1575828186097
0.05,1,0.5,6,-459.9098708356294
0.05,1,0.55,2,-629.7380328220297
0.05,1,0.55,3,-540.0493987379705
0.05,1,0.55,4,-479.55507929423106
0.05,1,0.55,5,-444.4036848632981
0.05,1,0.55,6,-428.76578376089753
0.05,1,0.6000000000000001,2,-609.2761893223309
0.05,1,0.6000000000000001,3,-514.8284979021166
0.05,1,0.6000000000000001,4,-451.6202120179452
0.05,1,0.6000000000000001,5,-415.4213320804348
0.05,1,0.6000000000000001,6,-399.5947200674277
0.05,1,0.65,2,-589.5069684786498
0.05,1,0.65,3,-490.69313544769636
0.05,1,0.65,4,-425.09819751771226
0.05,1,0.65,5,-388.1784913434233
0.05,1,0.65,6,-372.3991346424509
0.05,1,0.7000000000000001,2,-570.4107394249341
0.05,1,0.7000000000000001,3,-467.6144883487089
0.05,1,0.7000000000000001,4,-399.96035999604715
0.05,1,0.7000000000000001,5,-362.691559696179
0.05,1,0.7000000000000001,6,-347.25499530633715
0.05,1,0.75,2,-551.9794973742751
0.05,1,0.75,3,-445.5872352299403
0.05,1,0.75,4,-376.21343553601577
0.05,1,0.75,5,-339.04729187539715
0.05,1,0.75,6,-324.3526627429725
0.05,1,0.8,2,-534.2237883219357
0.05,1,0.8,3,-424.6434566747738
0.05,1,0.8,4,-353.91937167490244
0.05,1,0.8,5,-317.4508866747052
0.05,1,0.8,6,-304.0869563000215
0.05,1,0.8500000000000001,2,-517.1903607275872
0.05,1,0.8500000000000001,3,-404.8880542936599
0.05,1,0.8500000000000001,4,-333.2446829802564
0.05,1,0.8500000000000001,5,-298.3442989314739
0.05,1,0.8500000000000001,6,-287.2823365410462
0.05,1,0.9,2,-501.01739292267297
0.05,1,0.9,3,-386.6094122210583
0.05,1,0.9,4,-314.6116404447831
0.05,1,0.9,5,-282.7671308368851
0.05,1,0.9,6,-275.8932242165158
0.05,1,0.9500000000000001,2,-486.1958068343291
0.05,1,0.9500000000000001,3,-370.80237675756706
0.05,1,0.9500000000000001,4,-299.40207974159625
0.05,1,0.9500000000000001,5,-274.03266283080774
0.05,1,0.9500000000000001,6,-276.3137590753912
0.05,1,1.0,2,-557.2489311601698
0.05,1,1.0,3,-526.6320917517377
0.05,1,1.0,4,-522.324770882895
0.05,1,1.0,5,-926.5542946564486
0.05,1,1.0,6,-1497.1083604553046
0.05,5,0.0,2,-670.657633645344
0.05,5,0.0,3,-670.657633645344
0.05,5,0.0,4,-670.657633645344
0.05,5,0.0,5,-670.657633645344
0.05,5,0.0,6,-670.657633645344
0.05,5,0.05,2,-652.3767874043023
0.05,5,0.05,3,-645.2439071120173
0.05,5,0.05,4,-640.0195139631495
0.05,5,0.05,5,-636.703381156325
0.05,5,0.05,6,-635.0998899474108
0.05,5,0.1,2,-634.6999505694845
0.05,5,0.1,3,-620.9076444634295
0.05,5,0.1,4,-610.879452169451
0.05,5,0.1,5,-604.5651358244852
0.05,5,0.1,6,-601.5331415100399
0.05,5,0.15000000000000002,2,-617.5857143151778
0.05,5,0.15000000000000002,3,-597.5620660195136
0.05,5,0.15000000000000002,4,-583.1058766650259
0.05,5,0.15000000000000002,5,-574.0767037664115
0.05,5,0.15000000000000002,6,-569.7716791231869
0.05,5,0.2,2,-600.9983853404374
0.05,5,0.2,3,-575.1335556308819
0.05,5,0.2,4,-556.5885958907003
0.05,5,0.2,5,-545.1007989588871
0.05,5,0.2,6,-539.6635417553397
0.05,5,0.25,2,-584.9070347921037
0.05,5,0.25,3,-553.5593280217271
0.05,5,0.25,4,-531.2348802381592
0.05,5,0.25,5,-517.5237702970032
0.05,5,0.25,6,-511.0844180124068
0.05,5,0.30000000000000004,2,-569.2848002313273
0.05,5,0.30000000000000004,3,-532.7857241653114
0.05,5,0.30000000000000004,4,-506.9666258948661
0.05,5,0.30000000000000004,5,-491.25189351656945
0.05,5,0.30000000000000004,6,-483.93346753320793
0.05,5,0.35000000000000003,2,-554.1083808094521
0.05,5,0.35000000000000003,3,-512.7669785924049
0.05,5,0.35000000000000003,4,-483.71832533363323
0.05,5,0.35000000000000003,5,-466.20885270918967
0.05,5,0.35000000000000003,6,-458.13062998224086
0.05,5,0.4,2,-539.3576916358155
0.05,5,0.4,3,-493.4643667804984
0.05,5,0.4,4,-461.43568078381094
0.05,5,0.4,5,-442.33420871241384
0.05,5,0.4,6,-433.61521505425605
0.05,5,0.45,2,-525.0156639133829
0.05,5,0.45,3,-474.8456899822831
0.05,5,0.45,4,-440.0747803019949
0.05,5,0.45,5,-419.58278992346595
0.05,5,0.45,6,-410.34576074738834
0.05,5,0.5,2,-511.0681983010996
0.05,5,0.5,3,-456.88510194242485
0.05,5,0.5,4,-419.6018323251469
